call_id,date,month,month_name,hour,agent_id,agent_name,channel,duration_minutes,wait_time_minutes,resolved,customer_satisfaction
1,2025-01-01,2025-01-01,January 2025,19,103,Carol White,WhatsApp,16.89,0.23,True,2
2,2025-01-01,2025-01-01,January 2025,12,104,David Brown,Phone,12.37,2.05,True,5
3,2025-01-01,2025-01-01,January 2025,17,104,David Brown,WhatsApp,2.11,0.2,True,2
4,2025-01-01,2025-01-01,January 2025,17,106,Frank Miller,Email,15.16,0.36,False,1
5,2025-01-01,2025-01-01,January 2025,13,103,Carol White,Chat,14.69,12.01,False,1
6,2025-01-01,2025-01-01,January 2025,16,105,Emma Davis,Phone,16.82,2.88,False,2
7,2025-01-01,2025-01-01,January 2025,17,102,Bob Smith,Email,9.78,3.98,False,1
8,2025-01-01,2025-01-01,January 2025,10,105,Emma Davis,Email,17.2,3.85,False,2
9,2025-01-01,2025-01-01,January 2025,10,103,Carol White,Phone,12.84,4.14,True,3
10,2025-01-01,2025-01-01,January 2025,19,103,Carol White,Phone,20.98,3.67,True,2
11,2025-01-01,2025-01-01,January 2025,10,104,David Brown,Phone,6.92,3.1,True,1
12,2025-01-01,2025-01-01,January 2025,15,103,Carol White,Phone,18.27,1.88,True,5
13,2025-01-01,2025-01-01,January 2025,19,106,Frank Miller,WhatsApp,16.6,10.18,False,1
14,2025-01-01,2025-01-01,January 2025,10,103,Carol White,Chat,12.72,0.23,True,4
15,2025-01-01,2025-01-01,January 2025,12,102,Bob Smith,Chat,9.14,0.87,True,3
16,2025-01-01,2025-01-01,January 2025,17,106,Frank Miller,Phone,21.77,2.0,True,5
17,2025-01-01,2025-01-01,January 2025,13,102,Bob Smith,Phone,7.17,1.08,True,3
18,2025-01-01,2025-01-01,January 2025,17,103,Carol White,Phone,12.08,0.52,True,5
19,2025-01-01,2025-01-01,January 2025,10,102,Bob Smith,Phone,11.75,0.84,True,5
20,2025-01-01,2025-01-01,January 2025,15,102,Bob Smith,Phone,4.37,0.03,False,1
21,2025-01-01,2025-01-01,January 2025,17,105,Emma Davis,Phone,16.79,5.96,False,3
22,2025-01-01,2025-01-01,January 2025,13,103,Carol White,WhatsApp,15.56,0.04,False,1
23,2025-01-01,2025-01-01,January 2025,9,101,Alice Johnson,WhatsApp,17.63,2.86,True,1
24,2025-01-01,2025-01-01,January 2025,9,101,Alice Johnson,Chat,12.07,9.97,True,3
25,2025-01-01,2025-01-01,January 2025,12,102,Bob Smith,Phone,13.26,0.33,True,1
26,2025-01-01,2025-01-01,January 2025,11,102,Bob Smith,Email,23.68,1.24,True,3
27,2025-01-01,2025-01-01,January 2025,9,104,David Brown,Email,11.75,3.88,True,1
28,2025-01-01,2025-01-01,January 2025,8,106,Frank Miller,WhatsApp,14.84,2.29,True,3
29,2025-01-01,2025-01-01,January 2025,12,106,Frank Miller,Chat,11.0,4.32,False,2
30,2025-01-01,2025-01-01,January 2025,12,102,Bob Smith,Phone,8.29,2.23,True,5
31,2025-01-01,2025-01-01,January 2025,11,103,Carol White,Phone,9.42,7.08,False,2
32,2025-01-01,2025-01-01,January 2025,14,103,Carol White,Phone,17.37,3.56,True,5
33,2025-01-01,2025-01-01,January 2025,8,105,Emma Davis,Email,7.79,3.33,True,3
34,2025-01-01,2025-01-01,January 2025,9,101,Alice Johnson,Email,14.88,0.0,False,2
35,2025-01-01,2025-01-01,January 2025,13,101,Alice Johnson,WhatsApp,4.95,1.71,True,5
36,2025-01-01,2025-01-01,January 2025,13,104,David Brown,WhatsApp,9.9,3.17,False,1
37,2025-01-01,2025-01-01,January 2025,10,103,Carol White,Phone,16.84,4.99,True,3
38,2025-01-01,2025-01-01,January 2025,18,102,Bob Smith,Phone,17.4,2.89,True,1
39,2025-01-01,2025-01-01,January 2025,18,105,Emma Davis,Email,19.99,1.93,False,3
40,2025-01-01,2025-01-01,January 2025,8,103,Carol White,WhatsApp,9.72,5.04,True,4
41,2025-01-01,2025-01-01,January 2025,14,102,Bob Smith,Phone,19.21,0.66,False,2
42,2025-01-01,2025-01-01,January 2025,10,101,Alice Johnson,Chat,15.55,0.95,True,4
43,2025-01-01,2025-01-01,January 2025,13,103,Carol White,Email,13.85,0.94,True,3
44,2025-01-01,2025-01-01,January 2025,15,102,Bob Smith,Phone,17.56,3.82,False,1
45,2025-01-01,2025-01-01,January 2025,12,103,Carol White,Chat,13.32,6.52,True,2
46,2025-01-01,2025-01-01,January 2025,13,102,Bob Smith,Email,23.57,1.51,True,2
47,2025-01-01,2025-01-01,January 2025,18,105,Emma Davis,Chat,10.03,0.4,True,4
48,2025-01-01,2025-01-01,January 2025,17,103,Carol White,Phone,18.68,0.03,True,5
49,2025-01-01,2025-01-01,January 2025,15,104,David Brown,Phone,20.45,0.72,True,1
50,2025-01-01,2025-01-01,January 2025,16,105,Emma Davis,Phone,16.67,3.1,True,5
51,2025-01-01,2025-01-01,January 2025,16,102,Bob Smith,Phone,18.77,2.54,True,5
52,2025-01-01,2025-01-01,January 2025,19,102,Bob Smith,Email,15.03,0.76,False,2
53,2025-01-01,2025-01-01,January 2025,19,102,Bob Smith,WhatsApp,14.4,4.45,True,5
54,2025-01-01,2025-01-01,January 2025,17,102,Bob Smith,Phone,8.28,2.28,True,2
55,2025-01-01,2025-01-01,January 2025,11,101,Alice Johnson,Email,17.02,8.83,True,2
56,2025-01-01,2025-01-01,January 2025,15,106,Frank Miller,Chat,16.19,5.45,True,5
57,2025-01-01,2025-01-01,January 2025,10,106,Frank Miller,Phone,16.79,6.73,False,1
58,2025-01-01,2025-01-01,January 2025,18,106,Frank Miller,WhatsApp,15.95,3.64,True,5
59,2025-01-01,2025-01-01,January 2025,17,106,Frank Miller,Chat,8.57,2.53,True,1
60,2025-01-01,2025-01-01,January 2025,14,103,Carol White,Phone,10.73,5.76,True,4
61,2025-01-01,2025-01-01,January 2025,16,106,Frank Miller,Chat,16.69,2.44,True,5
62,2025-01-01,2025-01-01,January 2025,12,101,Alice Johnson,WhatsApp,8.81,0.27,False,3
63,2025-01-01,2025-01-01,January 2025,12,104,David Brown,Email,19.2,2.64,True,2
64,2025-01-01,2025-01-01,January 2025,16,106,Frank Miller,Email,18.97,0.33,True,3
65,2025-01-01,2025-01-01,January 2025,16,106,Frank Miller,Email,15.82,0.19,True,1
66,2025-01-01,2025-01-01,January 2025,8,105,Emma Davis,Phone,14.51,4.89,True,2
67,2025-01-01,2025-01-01,January 2025,18,103,Carol White,Phone,17.97,0.47,True,1
68,2025-01-01,2025-01-01,January 2025,19,104,David Brown,Chat,18.12,1.64,True,1
69,2025-01-01,2025-01-01,January 2025,8,104,David Brown,Phone,13.35,1.55,False,2
70,2025-01-01,2025-01-01,January 2025,19,103,Carol White,Chat,13.82,7.04,True,4
71,2025-01-01,2025-01-01,January 2025,14,102,Bob Smith,Phone,15.56,5.18,False,3
72,2025-01-01,2025-01-01,January 2025,15,106,Frank Miller,Phone,12.22,1.2,True,5
73,2025-01-01,2025-01-01,January 2025,8,104,David Brown,Phone,12.19,0.29,True,1
74,2025-01-01,2025-01-01,January 2025,13,105,Emma Davis,Chat,8.27,8.32,True,1
75,2025-01-01,2025-01-01,January 2025,13,105,Emma Davis,Chat,14.37,1.54,False,1
76,2025-01-01,2025-01-01,January 2025,18,105,Emma Davis,Email,4.55,0.43,True,4
77,2025-01-01,2025-01-01,January 2025,13,103,Carol White,WhatsApp,17.75,0.06,False,3
78,2025-01-01,2025-01-01,January 2025,12,104,David Brown,WhatsApp,14.02,7.06,True,5
79,2025-01-01,2025-01-01,January 2025,11,104,David Brown,Chat,9.84,8.9,True,3
80,2025-01-01,2025-01-01,January 2025,19,105,Emma Davis,Phone,13.31,0.55,False,2
81,2025-01-01,2025-01-01,January 2025,19,104,David Brown,Phone,13.35,2.02,True,3
82,2025-01-01,2025-01-01,January 2025,12,106,Frank Miller,Phone,8.13,0.06,True,3
83,2025-01-01,2025-01-01,January 2025,9,104,David Brown,Phone,13.52,0.63,True,2
84,2025-01-01,2025-01-01,January 2025,11,104,David Brown,Email,9.3,0.64,True,1
85,2025-01-01,2025-01-01,January 2025,17,104,David Brown,Chat,19.93,1.74,True,4
86,2025-01-01,2025-01-01,January 2025,15,104,David Brown,Phone,16.44,0.6,True,4
87,2025-01-01,2025-01-01,January 2025,13,102,Bob Smith,Chat,17.77,0.6,True,4
88,2025-01-01,2025-01-01,January 2025,16,106,Frank Miller,Phone,16.48,2.18,True,5
89,2025-01-01,2025-01-01,January 2025,13,103,Carol White,Phone,13.76,2.74,True,2
90,2025-01-01,2025-01-01,January 2025,13,102,Bob Smith,Phone,18.28,1.46,True,3
91,2025-01-01,2025-01-01,January 2025,16,104,David Brown,Chat,16.72,0.24,True,3
92,2025-01-01,2025-01-01,January 2025,8,101,Alice Johnson,Email,10.95,1.15,True,4
93,2025-01-01,2025-01-01,January 2025,17,105,Emma Davis,Phone,16.6,1.04,True,1
94,2025-01-01,2025-01-01,January 2025,15,101,Alice Johnson,WhatsApp,15.49,3.09,False,1
95,2025-01-01,2025-01-01,January 2025,14,106,Frank Miller,Email,23.37,0.51,False,2
96,2025-01-01,2025-01-01,January 2025,13,103,Carol White,Email,14.05,0.08,True,4
97,2025-01-01,2025-01-01,January 2025,17,101,Alice Johnson,Chat,15.83,1.62,False,1
98,2025-01-01,2025-01-01,January 2025,14,105,Emma Davis,Email,20.42,2.07,False,2
99,2025-01-01,2025-01-01,January 2025,8,101,Alice Johnson,Chat,15.2,0.02,True,3
100,2025-01-01,2025-01-01,January 2025,13,105,Emma Davis,Email,21.54,0.13,True,5
101,2025-01-01,2025-01-01,January 2025,15,104,David Brown,WhatsApp,17.68,3.54,True,2
102,2025-01-01,2025-01-01,January 2025,14,102,Bob Smith,Phone,28.04,1.05,False,2
103,2025-01-01,2025-01-01,January 2025,14,106,Frank Miller,Chat,7.0,10.02,True,2
104,2025-01-01,2025-01-01,January 2025,18,102,Bob Smith,Chat,11.92,0.98,True,1
105,2025-01-01,2025-01-01,January 2025,17,103,Carol White,Phone,19.51,7.27,True,5
106,2025-01-01,2025-01-01,January 2025,13,103,Carol White,Chat,19.2,0.77,True,4
107,2025-01-01,2025-01-01,January 2025,9,102,Bob Smith,WhatsApp,6.2,1.85,False,1
108,2025-01-01,2025-01-01,January 2025,10,103,Carol White,Phone,7.07,1.74,False,2
109,2025-01-01,2025-01-01,January 2025,10,105,Emma Davis,Chat,22.68,3.83,False,1
110,2025-01-01,2025-01-01,January 2025,8,106,Frank Miller,Chat,14.84,1.25,True,1
111,2025-01-01,2025-01-01,January 2025,15,104,David Brown,Phone,12.53,1.03,False,3
112,2025-01-01,2025-01-01,January 2025,17,105,Emma Davis,Email,22.11,3.99,False,2
113,2025-01-01,2025-01-01,January 2025,13,105,Emma Davis,Phone,16.17,3.11,True,4
114,2025-01-01,2025-01-01,January 2025,13,105,Emma Davis,Email,17.02,0.31,False,1
115,2025-01-01,2025-01-01,January 2025,13,106,Frank Miller,Phone,14.74,1.26,False,1
116,2025-01-01,2025-01-01,January 2025,10,101,Alice Johnson,Chat,17.21,5.2,True,2
117,2025-01-01,2025-01-01,January 2025,18,103,Carol White,Chat,6.25,3.89,True,4
118,2025-01-01,2025-01-01,January 2025,16,103,Carol White,Phone,14.63,1.92,True,1
119,2025-01-01,2025-01-01,January 2025,15,106,Frank Miller,Email,5.88,3.27,True,2
120,2025-01-01,2025-01-01,January 2025,8,101,Alice Johnson,Email,9.37,2.95,True,5
121,2025-01-01,2025-01-01,January 2025,17,106,Frank Miller,Phone,15.4,2.26,True,1
122,2025-01-01,2025-01-01,January 2025,14,106,Frank Miller,Phone,11.91,7.54,False,3
123,2025-01-01,2025-01-01,January 2025,11,105,Emma Davis,Phone,17.3,4.2,False,1
124,2025-01-01,2025-01-01,January 2025,11,103,Carol White,Phone,9.97,0.57,True,2
125,2025-01-01,2025-01-01,January 2025,16,106,Frank Miller,Email,8.29,1.51,False,3
126,2025-01-01,2025-01-01,January 2025,13,102,Bob Smith,Phone,20.82,1.28,True,3
127,2025-01-01,2025-01-01,January 2025,9,103,Carol White,Phone,10.19,0.66,False,2
128,2025-01-01,2025-01-01,January 2025,19,102,Bob Smith,Chat,19.78,11.2,True,1
129,2025-01-01,2025-01-01,January 2025,17,104,David Brown,Phone,9.93,0.64,True,5
130,2025-01-01,2025-01-01,January 2025,12,102,Bob Smith,Email,12.38,4.07,True,5
131,2025-01-01,2025-01-01,January 2025,13,105,Emma Davis,Chat,15.49,3.07,True,5
132,2025-01-01,2025-01-01,January 2025,15,102,Bob Smith,Email,15.7,0.46,True,4
133,2025-01-01,2025-01-01,January 2025,19,101,Alice Johnson,WhatsApp,16.38,2.79,True,2
134,2025-01-01,2025-01-01,January 2025,10,104,David Brown,WhatsApp,18.25,1.37,True,5
135,2025-01-01,2025-01-01,January 2025,19,106,Frank Miller,Email,20.6,1.87,True,1
136,2025-01-01,2025-01-01,January 2025,8,105,Emma Davis,Email,12.05,1.23,False,2
137,2025-01-01,2025-01-01,January 2025,19,103,Carol White,Phone,19.0,3.81,True,4
138,2025-01-01,2025-01-01,January 2025,16,105,Emma Davis,Phone,7.12,2.89,False,2
139,2025-01-01,2025-01-01,January 2025,12,104,David Brown,Chat,7.98,4.85,False,3
140,2025-01-01,2025-01-01,January 2025,18,104,David Brown,Phone,10.87,1.09,True,1
141,2025-01-01,2025-01-01,January 2025,18,106,Frank Miller,Phone,13.52,0.77,False,1
142,2025-01-01,2025-01-01,January 2025,12,106,Frank Miller,WhatsApp,8.71,0.66,False,3
143,2025-01-01,2025-01-01,January 2025,10,105,Emma Davis,Phone,12.83,3.11,False,2
144,2025-01-01,2025-01-01,January 2025,9,106,Frank Miller,Chat,13.38,2.1,True,1
145,2025-01-01,2025-01-01,January 2025,18,106,Frank Miller,Chat,19.71,2.12,False,1
146,2025-01-01,2025-01-01,January 2025,17,106,Frank Miller,Phone,16.13,0.61,True,4
147,2025-01-01,2025-01-01,January 2025,10,104,David Brown,Phone,10.52,8.04,True,2
148,2025-01-01,2025-01-01,January 2025,13,102,Bob Smith,Email,11.9,4.98,False,1
149,2025-01-01,2025-01-01,January 2025,17,103,Carol White,Phone,8.93,7.61,True,4
150,2025-01-01,2025-01-01,January 2025,8,101,Alice Johnson,Chat,15.88,5.66,True,2
151,2025-01-01,2025-01-01,January 2025,9,103,Carol White,Phone,16.37,0.86,True,1
152,2025-01-01,2025-01-01,January 2025,19,103,Carol White,WhatsApp,11.61,0.28,True,3
153,2025-01-01,2025-01-01,January 2025,8,104,David Brown,WhatsApp,23.57,4.85,False,1
154,2025-01-01,2025-01-01,January 2025,10,101,Alice Johnson,Chat,7.64,1.78,True,1
155,2025-01-01,2025-01-01,January 2025,10,104,David Brown,Phone,12.93,7.21,False,3
156,2025-01-01,2025-01-01,January 2025,11,105,Emma Davis,Chat,18.03,1.48,True,2
157,2025-01-01,2025-01-01,January 2025,8,105,Emma Davis,Chat,18.33,3.33,True,5
158,2025-01-01,2025-01-01,January 2025,19,101,Alice Johnson,Chat,14.64,0.67,True,1
159,2025-01-01,2025-01-01,January 2025,12,105,Emma Davis,Email,17.11,5.61,True,1
160,2025-01-01,2025-01-01,January 2025,11,102,Bob Smith,Phone,12.75,0.56,True,3
161,2025-01-01,2025-01-01,January 2025,16,101,Alice Johnson,Phone,21.06,0.61,False,1
162,2025-01-01,2025-01-01,January 2025,16,102,Bob Smith,Phone,20.54,4.89,True,4
163,2025-01-01,2025-01-01,January 2025,12,103,Carol White,Chat,16.06,2.58,True,4
164,2025-01-01,2025-01-01,January 2025,19,106,Frank Miller,Email,8.03,2.15,True,1
165,2025-01-01,2025-01-01,January 2025,11,106,Frank Miller,Phone,13.71,2.66,True,2
166,2025-01-01,2025-01-01,January 2025,17,101,Alice Johnson,Email,7.75,1.73,True,1
167,2025-01-01,2025-01-01,January 2025,11,103,Carol White,Phone,11.94,3.86,False,3
168,2025-01-01,2025-01-01,January 2025,9,104,David Brown,Phone,14.35,4.38,True,4
169,2025-01-01,2025-01-01,January 2025,14,105,Emma Davis,Email,14.98,0.43,True,3
170,2025-01-01,2025-01-01,January 2025,15,106,Frank Miller,Phone,4.18,1.55,True,3
171,2025-01-01,2025-01-01,January 2025,9,102,Bob Smith,Phone,18.98,9.51,True,4
172,2025-01-01,2025-01-01,January 2025,15,102,Bob Smith,Phone,19.4,0.12,False,3
173,2025-01-02,2025-01-01,January 2025,19,103,Carol White,Email,21.44,2.12,False,1
174,2025-01-02,2025-01-01,January 2025,8,106,Frank Miller,Email,14.34,1.54,True,2
175,2025-01-02,2025-01-01,January 2025,13,104,David Brown,Email,21.75,2.52,True,2
176,2025-01-02,2025-01-01,January 2025,8,104,David Brown,Phone,16.96,2.44,True,1
177,2025-01-02,2025-01-01,January 2025,8,105,Emma Davis,Email,7.5,0.98,True,2
178,2025-01-02,2025-01-01,January 2025,19,104,David Brown,Phone,12.89,1.61,True,2
179,2025-01-02,2025-01-01,January 2025,15,106,Frank Miller,Phone,11.1,1.59,True,4
180,2025-01-02,2025-01-01,January 2025,16,102,Bob Smith,Phone,11.51,3.19,True,3
181,2025-01-02,2025-01-01,January 2025,10,101,Alice Johnson,Phone,10.65,0.62,True,4
182,2025-01-02,2025-01-01,January 2025,15,102,Bob Smith,Phone,9.18,5.84,False,2
183,2025-01-02,2025-01-01,January 2025,14,104,David Brown,Phone,20.19,1.98,True,1
184,2025-01-02,2025-01-01,January 2025,11,102,Bob Smith,Chat,9.31,1.13,True,1
185,2025-01-02,2025-01-01,January 2025,14,104,David Brown,Phone,13.36,0.29,False,1
186,2025-01-02,2025-01-01,January 2025,14,106,Frank Miller,Email,14.21,0.4,True,3
187,2025-01-02,2025-01-01,January 2025,18,106,Frank Miller,Email,19.79,0.62,False,2
188,2025-01-02,2025-01-01,January 2025,12,103,Carol White,WhatsApp,8.76,0.21,False,3
189,2025-01-02,2025-01-01,January 2025,17,102,Bob Smith,Phone,20.33,7.08,False,3
190,2025-01-02,2025-01-01,January 2025,18,103,Carol White,WhatsApp,19.48,0.88,True,1
191,2025-01-02,2025-01-01,January 2025,13,106,Frank Miller,Phone,14.67,0.38,True,4
192,2025-01-02,2025-01-01,January 2025,14,105,Emma Davis,Email,14.19,1.25,True,2
193,2025-01-02,2025-01-01,January 2025,9,105,Emma Davis,Chat,14.98,1.4,True,2
194,2025-01-02,2025-01-01,January 2025,8,104,David Brown,Chat,21.25,2.84,True,3
195,2025-01-02,2025-01-01,January 2025,10,102,Bob Smith,Phone,18.38,2.26,True,3
196,2025-01-02,2025-01-01,January 2025,12,106,Frank Miller,Chat,10.89,1.29,True,3
197,2025-01-02,2025-01-01,January 2025,9,102,Bob Smith,Chat,10.84,0.29,True,1
198,2025-01-02,2025-01-01,January 2025,18,101,Alice Johnson,Email,20.72,1.03,True,3
199,2025-01-02,2025-01-01,January 2025,11,103,Carol White,Phone,17.23,0.72,True,1
200,2025-01-02,2025-01-01,January 2025,8,106,Frank Miller,Phone,18.75,1.26,True,4
201,2025-01-02,2025-01-01,January 2025,8,103,Carol White,Chat,16.92,8.07,True,4
202,2025-01-02,2025-01-01,January 2025,10,102,Bob Smith,Phone,15.41,0.59,False,1
203,2025-01-02,2025-01-01,January 2025,8,102,Bob Smith,Chat,13.34,3.19,True,3
204,2025-01-02,2025-01-01,January 2025,18,104,David Brown,WhatsApp,20.54,1.35,True,2
205,2025-01-02,2025-01-01,January 2025,9,104,David Brown,Phone,13.84,1.03,True,4
206,2025-01-02,2025-01-01,January 2025,11,103,Carol White,Phone,18.08,2.53,True,1
207,2025-01-02,2025-01-01,January 2025,16,106,Frank Miller,Chat,28.24,8.24,True,5
208,2025-01-02,2025-01-01,January 2025,8,105,Emma Davis,Phone,16.56,0.32,True,3
209,2025-01-02,2025-01-01,January 2025,18,104,David Brown,Chat,15.79,7.38,True,2
210,2025-01-02,2025-01-01,January 2025,19,105,Emma Davis,Phone,16.33,2.0,True,1
211,2025-01-02,2025-01-01,January 2025,17,104,David Brown,Phone,21.52,0.01,True,5
212,2025-01-02,2025-01-01,January 2025,16,104,David Brown,Phone,22.31,3.61,True,2
213,2025-01-02,2025-01-01,January 2025,14,104,David Brown,Chat,10.78,0.97,False,2
214,2025-01-02,2025-01-01,January 2025,19,103,Carol White,WhatsApp,12.12,2.54,True,4
215,2025-01-02,2025-01-01,January 2025,11,106,Frank Miller,Chat,19.02,0.1,True,2
216,2025-01-02,2025-01-01,January 2025,15,101,Alice Johnson,Phone,18.07,2.94,False,3
217,2025-01-02,2025-01-01,January 2025,8,101,Alice Johnson,Phone,20.05,2.71,False,1
218,2025-01-02,2025-01-01,January 2025,16,101,Alice Johnson,Email,13.66,1.82,False,2
219,2025-01-02,2025-01-01,January 2025,10,101,Alice Johnson,Email,9.51,1.83,True,3
220,2025-01-02,2025-01-01,January 2025,15,103,Carol White,WhatsApp,15.66,15.98,True,5
221,2025-01-02,2025-01-01,January 2025,18,104,David Brown,Email,6.0,2.23,True,4
222,2025-01-02,2025-01-01,January 2025,14,103,Carol White,Chat,12.47,2.01,True,3
223,2025-01-02,2025-01-01,January 2025,19,103,Carol White,Phone,14.41,3.66,False,1
224,2025-01-02,2025-01-01,January 2025,8,104,David Brown,Phone,9.2,2.8,True,3
225,2025-01-02,2025-01-01,January 2025,16,106,Frank Miller,WhatsApp,14.26,5.76,True,2
226,2025-01-02,2025-01-01,January 2025,18,102,Bob Smith,Phone,11.64,3.07,False,2
227,2025-01-02,2025-01-01,January 2025,15,104,David Brown,Chat,20.24,2.23,True,4
228,2025-01-02,2025-01-01,January 2025,19,103,Carol White,Email,18.89,2.15,True,5
229,2025-01-02,2025-01-01,January 2025,14,102,Bob Smith,WhatsApp,18.77,2.03,True,5
