call_id,date,week_start,hour,agent_id,agent_name,channel,duration_minutes,wait_time_minutes,resolved,customer_satisfaction
1,2025-01-06,2025-01-06,18,104,David Brown,WhatsApp,20.57,1.17,True,1
2,2025-01-06,2025-01-06,15,105,Emma Davis,Phone,17.42,0.58,False,3
3,2025-01-06,2025-01-06,11,106,Frank Miller,Phone,16.69,1.95,True,1
4,2025-01-06,2025-01-06,10,102,Bob Smith,WhatsApp,16.24,0.66,True,2
5,2025-01-06,2025-01-06,11,105,Emma Davis,WhatsApp,15.4,1.2,False,2
6,2025-01-06,2025-01-06,9,103,Carol White,Phone,11.17,6.97,False,3
7,2025-01-06,2025-01-06,10,101,Alice Johnson,WhatsApp,10.1,6.19,False,1
8,2025-01-06,2025-01-06,10,102,Bob Smith,Chat,10.07,11.94,True,1
9,2025-01-06,2025-01-06,17,101,Alice Johnson,WhatsApp,11.55,1.58,True,5
10,2025-01-06,2025-01-06,10,101,Alice Johnson,Email,8.84,2.23,True,1
11,2025-01-06,2025-01-06,19,102,Bob Smith,WhatsApp,10.45,2.68,True,1
12,2025-01-06,2025-01-06,14,101,Alice Johnson,Email,10.87,0.21,False,1
13,2025-01-06,2025-01-06,15,101,Alice Johnson,Phone,8.55,0.85,True,3
14,2025-01-06,2025-01-06,12,104,David Brown,Phone,16.76,4.04,False,2
15,2025-01-06,2025-01-06,10,106,Frank Miller,Phone,5.37,1.3,False,3
16,2025-01-06,2025-01-06,19,106,Frank Miller,Chat,10.03,5.29,True,1
17,2025-01-06,2025-01-06,15,106,Frank Miller,Chat,25.86,1.05,False,2
18,2025-01-06,2025-01-06,12,103,Carol White,Chat,11.14,2.28,True,5
19,2025-01-06,2025-01-06,9,103,Carol White,Phone,17.23,2.15,True,5
20,2025-01-06,2025-01-06,16,101,Alice Johnson,Phone,14.55,7.39,False,2
21,2025-01-06,2025-01-06,14,105,Emma Davis,Email,11.74,14.81,True,2
22,2025-01-06,2025-01-06,8,106,Frank Miller,WhatsApp,14.46,1.94,True,1
23,2025-01-06,2025-01-06,11,102,Bob Smith,Phone,11.81,4.12,True,5
24,2025-01-06,2025-01-06,12,102,Bob Smith,Phone,21.98,0.67,True,5
25,2025-01-06,2025-01-06,19,106,Frank Miller,WhatsApp,16.98,1.34,True,1
26,2025-01-06,2025-01-06,15,105,Emma Davis,Phone,15.79,1.88,True,2
27,2025-01-06,2025-01-06,9,103,Carol White,Email,15.05,11.13,True,1
28,2025-01-06,2025-01-06,14,103,Carol White,Phone,14.42,1.39,True,3
29,2025-01-06,2025-01-06,12,106,Frank Miller,Email,17.55,7.22,True,3
30,2025-01-06,2025-01-06,8,104,David Brown,Phone,13.42,0.62,True,3
31,2025-01-06,2025-01-06,19,104,David Brown,Email,13.96,6.55,True,5
32,2025-01-06,2025-01-06,12,103,Carol White,WhatsApp,1.28,9.15,True,3
33,2025-01-06,2025-01-06,11,104,David Brown,Chat,14.63,6.55,False,2
34,2025-01-06,2025-01-06,16,103,Carol White,Email,20.51,1.8,True,3
35,2025-01-06,2025-01-06,10,105,Emma Davis,WhatsApp,16.3,0.58,True,3
36,2025-01-06,2025-01-06,9,104,David Brown,Email,23.61,4.96,True,4
37,2025-01-06,2025-01-06,15,103,Carol White,Phone,14.08,3.13,True,5
38,2025-01-06,2025-01-06,15,104,David Brown,Phone,19.93,1.01,False,1
39,2025-01-06,2025-01-06,10,106,Frank Miller,Phone,12.38,4.85,False,1
40,2025-01-06,2025-01-06,9,101,Alice Johnson,Phone,9.31,1.03,True,1
41,2025-01-06,2025-01-06,14,105,Emma Davis,Chat,17.61,2.44,True,4
42,2025-01-06,2025-01-06,12,106,Frank Miller,Chat,12.23,1.95,True,1
43,2025-01-06,2025-01-06,11,101,Alice Johnson,Chat,10.69,1.59,True,4
44,2025-01-06,2025-01-06,8,104,David Brown,Phone,17.62,8.67,True,2
45,2025-01-06,2025-01-06,12,106,Frank Miller,Phone,15.29,1.33,True,1
46,2025-01-06,2025-01-06,8,106,Frank Miller,Phone,4.86,6.97,True,3
47,2025-01-06,2025-01-06,10,101,Alice Johnson,Phone,12.58,10.14,True,1
48,2025-01-06,2025-01-06,9,106,Frank Miller,Chat,18.08,9.2,False,2
49,2025-01-06,2025-01-06,11,101,Alice Johnson,Chat,12.05,10.27,False,1
50,2025-01-06,2025-01-06,9,103,Carol White,WhatsApp,21.74,0.77,True,3
51,2025-01-06,2025-01-06,17,105,Emma Davis,Phone,20.8,7.12,True,3
52,2025-01-06,2025-01-06,12,105,Emma Davis,Phone,11.62,0.09,True,4
53,2025-01-06,2025-01-06,11,101,Alice Johnson,Chat,17.36,0.48,False,1
54,2025-01-06,2025-01-06,10,104,David Brown,Phone,17.17,0.62,True,5
55,2025-01-06,2025-01-06,15,104,David Brown,Phone,18.62,0.47,True,1
56,2025-01-06,2025-01-06,17,105,Emma Davis,WhatsApp,13.58,2.99,True,1
57,2025-01-06,2025-01-06,11,106,Frank Miller,WhatsApp,4.32,1.12,True,3
58,2025-01-06,2025-01-06,16,104,David Brown,Phone,20.32,0.67,False,3
59,2025-01-06,2025-01-06,16,103,Carol White,Phone,1.0,0.81,True,5
60,2025-01-06,2025-01-06,9,102,Bob Smith,Email,11.63,1.43,False,3
61,2025-01-06,2025-01-06,16,104,David Brown,Phone,10.6,2.33,False,1
62,2025-01-06,2025-01-06,16,101,Alice Johnson,Phone,19.48,13.58,False,1
63,2025-01-06,2025-01-06,14,106,Frank Miller,Phone,20.13,0.01,False,2
64,2025-01-06,2025-01-06,15,101,Alice Johnson,Email,16.95,2.15,True,3
65,2025-01-06,2025-01-06,9,102,Bob Smith,WhatsApp,14.61,0.24,True,1
66,2025-01-06,2025-01-06,11,102,Bob Smith,Chat,11.76,4.49,True,5
67,2025-01-06,2025-01-06,18,104,David Brown,Email,17.91,1.73,True,5
68,2025-01-06,2025-01-06,11,105,Emma Davis,Phone,16.01,7.68,True,5
69,2025-01-06,2025-01-06,9,106,Frank Miller,Email,23.12,6.41,True,3
70,2025-01-06,2025-01-06,16,104,David Brown,Email,11.54,0.42,True,1
71,2025-01-06,2025-01-06,15,102,Bob Smith,WhatsApp,8.26,0.11,True,3
72,2025-01-06,2025-01-06,14,105,Emma Davis,WhatsApp,19.69,1.87,True,5
73,2025-01-06,2025-01-06,17,106,Frank Miller,WhatsApp,18.4,5.84,True,2
74,2025-01-06,2025-01-06,19,101,Alice Johnson,Email,15.46,3.4,True,2
75,2025-01-06,2025-01-06,9,103,Carol White,Phone,12.6,3.3,False,3
76,2025-01-06,2025-01-06,8,103,Carol White,Phone,18.83,2.62,True,3
77,2025-01-06,2025-01-06,16,101,Alice Johnson,Phone,12.88,1.72,True,5
78,2025-01-06,2025-01-06,19,102,Bob Smith,Chat,17.32,0.16,True,3
79,2025-01-06,2025-01-06,12,104,David Brown,Phone,11.05,3.88,True,5
80,2025-01-06,2025-01-06,9,102,Bob Smith,Phone,15.57,16.93,False,3
81,2025-01-06,2025-01-06,19,103,Carol White,WhatsApp,17.76,0.49,False,1
82,2025-01-06,2025-01-06,9,106,Frank Miller,Phone,11.99,6.05,False,3
83,2025-01-06,2025-01-06,18,105,Emma Davis,Phone,16.99,0.41,True,3
84,2025-01-06,2025-01-06,18,105,Emma Davis,Chat,19.91,1.76,True,5
85,2025-01-06,2025-01-06,12,101,Alice Johnson,Phone,14.22,9.65,False,1
86,2025-01-06,2025-01-06,15,105,Emma Davis,Phone,15.44,1.61,True,5
87,2025-01-06,2025-01-06,9,102,Bob Smith,Phone,7.52,0.18,True,2
88,2025-01-06,2025-01-06,8,103,Carol White,Chat,16.13,10.71,True,2
89,2025-01-06,2025-01-06,12,102,Bob Smith,Phone,19.02,0.6,True,5
90,2025-01-06,2025-01-06,14,105,Emma Davis,Phone,9.99,0.83,False,2
91,2025-01-06,2025-01-06,8,101,Alice Johnson,Phone,6.99,0.53,True,1
92,2025-01-06,2025-01-06,9,101,Alice Johnson,Phone,12.42,0.64,True,5
93,2025-01-06,2025-01-06,14,102,Bob Smith,Phone,11.52,0.66,True,2
94,2025-01-06,2025-01-06,19,101,Alice Johnson,WhatsApp,12.51,0.09,True,1
95,2025-01-06,2025-01-06,16,102,Bob Smith,WhatsApp,15.14,2.67,False,2
96,2025-01-06,2025-01-06,18,104,David Brown,Chat,8.9,0.67,True,3
97,2025-01-06,2025-01-06,14,104,David Brown,Phone,11.68,3.57,True,2
98,2025-01-06,2025-01-06,19,101,Alice Johnson,Chat,13.1,10.62,True,2
99,2025-01-06,2025-01-06,13,103,Carol White,Phone,9.29,1.38,True,2
100,2025-01-06,2025-01-06,15,102,Bob Smith,Phone,17.57,0.22,False,3
101,2025-01-06,2025-01-06,15,102,Bob Smith,Phone,19.28,4.0,True,1
102,2025-01-06,2025-01-06,16,106,Frank Miller,Phone,15.73,1.63,False,1
103,2025-01-06,2025-01-06,11,104,David Brown,Phone,13.18,1.43,True,2
104,2025-01-06,2025-01-06,12,102,Bob Smith,Phone,15.69,8.34,True,4
105,2025-01-06,2025-01-06,8,102,Bob Smith,Phone,13.96,0.45,True,3
